CustomerKey,CustomerID,CustomerNumber,CustomerName,FirstName,LastName,Country,MaritalStatus,Gender,Birthdate
1,11000,AW00011000,Jon Yang,Jon,Yang,Australia,Married,Male,1971-10-06
2,11001,AW00011001,Eugene Huang,Eugene,Huang,Australia,Single,Male,1976-05-10
3,11002,AW00011002,Ruben Torres,Ruben,Torres,Australia,Married,Male,1971-02-09
4,11003,AW00011003,Christy Zhu,Christy,Zhu,Australia,Single,Female,1973-08-14
5,11004,AW00011004,Elizabeth Johnson,Elizabeth,Johnson,Australia,Single,Female,1979-08-05
6,11005,AW00011005,Julio Ruiz,Julio,Ruiz,Australia,Single,Male,1976-08-01
7,11006,AW00011006,Janet Alvarez,Janet,Alvarez,Australia,Single,Female,1976-12-02
8,11007,AW00011007,Marco Mehta,Marco,Mehta,Australia,Married,Male,1969-11-06
9,11008,AW00011008,Rob Verhoff,Rob,Verhoff,Australia,Single,Female,1975-07-04
10,11009,AW00011009,Shannon Carlson,Shannon,Carlson,Australia,Single,Male,1969-09-29
11,11010,AW00011010,Jacquelyn Suarez,Jacquelyn,Suarez,Australia,Single,Female,1969-08-05
12,11011,AW00011011,Curtis Lu,Curtis,Lu,Australia,Married,Male,1969-05-03
13,11012,AW00011012,Lauren Walker,Lauren,Walker,United States,Married,Female,1979-01-14
14,11013,AW00011013,Ian Jenkins,Ian,Jenkins,United States,Married,Male,1979-08-03
15,11014,AW00011014,Sydney Bennett,Sydney,Bennett,United States,Single,Female,1973-11-06
16,11015,AW00011015,Chloe Young,Chloe,Young,United States,Single,Female,1984-08-26
17,11016,AW00011016,Wyatt Hill,Wyatt,Hill,United States,Married,Male,1984-10-25
18,11017,AW00011017,Shannon Wang,Shannon,Wang,Australia,Single,Female,1949-12-24
19,11018,AW00011018,Clarence Rai,Clarence,Rai,Australia,Single,Male,1955-10-06
20,11019,AW00011019,Luke Lal,Luke,Lal,Canada,Single,Male,1983-09-04
21,11020,AW00011020,Jordan King,Jordan,King,Canada,Single,Male,1984-03-19
22,11021,AW00011021,Destiny Wilson,Destiny,Wilson,United States,Single,Female,1984-03-02
23,11022,AW00011022,Ethan Zhang,Ethan,Zhang,United States,Married,Male,1984-04-10
24,11023,AW00011023,Seth Edwards,Seth,Edwards,United States,Married,Male,1984-04-09
25,11024,AW00011024,Russell Xie,Russell,Xie,United States,Married,Male,1984-03-16
26,11025,AW00011025,Alejandro Beck,Alejandro,Beck,Australia,Married,Male,1951-06-22
27,11026,AW00011026,Harold Sai,Harold,Sai,Australia,Single,Male,1951-10-01
28,11027,AW00011027,Jessie Zhao,Jessie,Zhao,Australia,Married,Male,1952-06-05
29,11028,AW00011028,Jill Jimenez,Jill,Jimenez,Australia,Married,Female,1951-10-09
30,11029,AW00011029,Jimmy Moreno,Jimmy,Moreno,Australia,Married,Male,1952-06-19
31,11030,AW00011030,Bethany Yuan,Bethany,Yuan,Australia,Married,Female,1958-02-18
32,11031,AW00011031,Theresa Ramos,Theresa,Ramos,Australia,Married,Female,1953-02-18
33,11032,AW00011032,Denise Stone,Denise,Stone,Australia,Married,Female,1952-12-08
34,11033,AW00011033,Jaime Nath,Jaime,Nath,Australia,Married,Male,1958-09-19
35,11034,AW00011034,Ebony Gonzalez,Ebony,Gonzalez,Australia,Married,Female,1952-12-16
