AccountID,CustomerID,AccountNumber,AccountType,OpenDate,Balance
1,1,6251419407,current,2025-08-25,202161.78
2,1,7781714418,current,2025-10-07,393432.69
3,2,8209032490,loan,2024-12-19,70490.88
4,2,6984685519,loan,2025-03-15,256015.09
5,3,4765916055,loan,2025-03-19,146255.8
6,3,4088474187,savings,2025-02-12,79926.82
7,4,6901443697,loan,2023-11-22,105652.44
8,5,8936638759,current,2026-01-16,19234.33
9,5,8226668324,savings,2025-11-24,23213.42
10,6,1514075978,savings,2025-12-22,133070.92
11,6,4606079885,savings,2026-01-28,31359.15
12,7,4716573974,savings,2025-07-19,330872.63
13,7,1276821876,savings,2025-06-30,87318.96
14,8,7433352575,loan,2026-02-23,334315.71
15,8,1266456280,current,2026-04-07,475279.4
16,9,9124210210,savings,2025-07-21,72746.17
17,9,8028058276,current,2025-08-01,117162.65
18,10,9654269265,current,2024-11-26,35962.01
19,10,2113446629,savings,2025-01-06,8840.03
20,11,8885521629,current,2025-01-23,196984.25
21,12,9289564301,loan,2024-06-12,322827.52
22,12,7069633792,savings,2024-07-03,110692.59
23,13,3981867262,savings,2026-08-25,211748.46
24,14,4276222705,savings,2025-05-23,395767.57
25,14,2962433230,savings,2025-07-10,451148.42
26,15,9098335099,current,2025-09-21,474828.48
27,15,5471908028,current,2025-10-15,361597.44
28,16,1324533844,current,2023-12-20,111345.29
29,17,8484981793,loan,2025-02-05,89451.12
30,17,2840407706,current,2025-03-04,109704.69
31,18,6819988263,savings,2025-11-09,192626.04
32,18,3414003345,savings,2025-11-18,181084.53
33,19,7623530485,current,2024-03-25,417321.75
34,19,6102020595,savings,2024-05-29,151600.97
35,20,5984669180,current,2024-01-06,312280.75
36,20,7565798780,savings,2024-02-26,415825.33
37,21,1546918993,current,2026-04-08,199627.23
38,21,8273264824,loan,2026-05-16,363771.93
39,22,9829933231,current,2023-11-18,98104.05
40,23,1260374402,loan,2023-08-28,144128.44
41,23,1721702926,savings,2023-09-20,412003.03
42,24,4464798429,loan,2024-04-17,69278.8
43,25,6155973578,loan,2025-10-05,83754.64
44,25,6077067848,savings,2025-10-07,375018.01
45,26,3381178025,savings,2025-07-06,170849.27
46,26,9607470133,current,2025-05-26,174783.69
47,27,7282142055,loan,2024-08-05,137395.47
48,27,9478379618,loan,2024-07-20,35187.85
49,28,7785403201,current,2023-12-19,340366.75
50,29,5746431021,current,2024-10-21,474085.57
51,30,1748948738,savings,2026-05-05,54956.04
52,30,7419693161,savings,2026-04-04,270571.53
53,31,6345063771,current,2025-07-13,167944.59
54,32,2803060789,loan,2025-03-14,388821.26
55,32,8452082599,loan,2025-04-06,21671.8
56,33,3224374541,current,2024-02-06,446879.15
57,33,5858690009,current,2024-03-27,110825.6
58,34,2993806027,current,2025-07-30,462670.46
59,34,7886102273,loan,2025-08-12,152044.61
60,35,1129106194,current,2026-05-04,333483.8
61,35,1452673534,savings,2026-05-30,367791.95
62,36,6529558097,savings,2026-03-26,291202.01
63,36,2117029126,savings,2026-03-29,305692.02
64,37,1273138446,loan,2025-11-11,346688.68
65,37,4566235872,loan,2025-12-14,210244.31
66,38,4850722426,loan,2024-05-12,212013.19
67,38,1185233886,loan,2024-06-14,49309.82
68,39,6720130353,current,2025-09-10,188792.86
69,39,6565045828,savings,2025-12-01,87028.42
70,40,8758149922,savings,2024-12-21,401156.76
71,40,4622946311,current,2025-02-06,4968.26
72,41,5159634025,current,2024-01-06,134800.69
73,42,2860424429,loan,2024-12-15,151062.15
74,43,4011602667,savings,2026-04-18,206549.06
75,43,8587091355,current,2026-03-01,38544.44
76,44,6407293620,current,2024-08-29,424370.99
77,44,5447524221,savings,2024-10-17,448115.25
78,45,3627931741,loan,2025-11-02,176191.85
79,45,6985372561,loan,2025-11-25,176864.91
80,46,5653559303,current,2024-03-30,316226.4
81,46,5110003764,loan,2024-04-25,33828.02
82,47,7380089159,loan,2025-07-30,373745.72
83,48,7086890679,savings,2024-08-18,492648.72
84,49,3190676585,current,2024-05-12,195688.41
85,50,8234708193,savings,2026-02-06,273331.44
86,50,3318268795,savings,2026-02-18,490028.85
87,51,9272786064,savings,2025-04-17,319652.93
88,51,1020533625,savings,2025-03-16,423535.64
89,52,8440772601,current,2025-08-29,115876.65
90,53,7088485648,savings,2026-04-13,55692.92
91,54,1341273623,current,2026-04-18,6501.94
92,55,1108683079,loan,2024-05-19,66642.2
93,55,8719140189,loan,2024-06-26,182732.8
94,56,6428455832,loan,2026-04-22,463974.08
95,56,3265442577,current,2026-04-05,289786.64
96,57,5179423426,savings,2026-04-06,147837.92
97,57,3817558390,loan,2026-03-23,28903.92
98,58,9712029698,savings,2025-05-02,337435.4
99,58,9103774414,current,2025-02-20,165802.46
100,59,5604596879,current,2026-02-14,163495.35
101,60,2822142194,savings,2025-10-27,285671.91
102,61,7131150141,loan,2024-10-17,343684.33
103,62,5958442779,loan,2024-07-12,158076.31
104,63,9245476570,loan,2025-12-17,373927.93
105,64,3484379382,loan,2024-10-23,181184.68
106,64,9418530041,loan,2024-09-24,425654.93
107,65,2456341150,savings,2024-08-08,61470.15
108,65,9915825072,current,2024-08-07,450056.54
109,66,5915536158,loan,2024-03-07,477682.7
110,66,7553206173,current,2024-04-15,241737.25
111,67,3154544323,savings,2025-01-09,124963.41
112,67,1235142078,current,2025-01-22,444422.15
113,68,5301714551,current,2024-01-08,449735.62
114,68,5077163526,savings,2024-01-05,55388.29
115,69,3303071220,loan,2024-03-05,465225.64
116,69,2322853034,loan,2024-02-04,438944.88
117,70,4772884408,savings,2025-02-23,355031.6
118,70,3029426081,loan,2025-04-11,120110.29
119,71,2515643351,loan,2023-10-23,116515.19
120,71,4740598432,savings,2023-11-22,69449.16
121,72,8129900738,savings,2024-12-28,48539.02
122,72,7567947852,loan,2025-01-26,11173.58
123,73,3144304821,current,2024-01-14,124682.18
124,73,5266506484,savings,2023-12-21,159116.05
125,74,2708744153,current,2025-07-01,491719.66
126,75,2963137819,savings,2024-10-18,159408.99
127,75,7011571771,savings,2024-09-09,142432.19
128,76,1569067154,current,2024-06-25,112591.51
129,76,1448043171,savings,2024-04-19,109534.74
130,77,3696475452,loan,2024-04-30,45459.05
131,77,6489764081,loan,2024-06-04,276377.46
132,78,5352962383,savings,2026-01-05,256160.77
133,79,3003636046,loan,2025-01-22,139469.14
134,79,2607586507,savings,2025-01-02,98557.72
135,80,5729879853,savings,2025-09-27,192641.26
136,80,9182528322,savings,2025-09-03,458018.82
137,81,1778564873,savings,2026-06-28,65446.76
138,82,5581294192,current,2025-06-19,388070.71
139,83,6459749513,savings,2025-09-12,81875.59
140,84,3309433728,savings,2026-04-19,345212.16
141,85,4193963047,current,2025-08-08,208024.68
142,85,4038563291,current,2025-07-17,388019.36
143,86,9584581475,current,2026-03-20,138961.69
144,87,7273723041,loan,2023-11-13,30869.36
145,87,3127480696,savings,2023-10-08,363987.5
146,88,9560624011,current,2026-04-23,443063.61
147,88,5490628110,current,2026-03-02,254378.24
148,89,5976489894,loan,2024-11-12,249406.88
149,90,5481398639,loan,2024-10-24,216101.97
150,90,2663860690,loan,2024-11-05,360185.73
151,91,3764297902,loan,2023-09-21,322939.62
152,91,4325775261,current,2023-09-26,467482.57
153,92,8868660737,loan,2025-03-08,173711.83
154,92,7922227819,loan,2025-01-11,395802.64
155,93,7305369365,loan,2025-05-12,64802.04
156,93,1406382292,savings,2025-05-01,193968.81
157,94,9964989632,loan,2026-01-04,316015.05
