CustomerID,CustomerName,Gender,BirthDate,SignupDate,City,Latitude,Longitude,ProductCount,TotalBalance,AccountTypes,RecencyDays,Frequency,MonetaryDebit,R_Score,F_Score,M_Score,RFM_Score,IsDormant,ValueSegment,EngagementStage,LastTxnDate
1,Bola Lawal,M,1993-05-05,2025-07-21,Abeokuta,7.1475,3.3619,2,595594.47,current,23,24,1592036.52,3,3,3,333,0,At Risk,Multi-Product,2026-06-24
2,Obinna Bello,F,1993-09-12,2024-12-16,Enugu,6.4584,7.5464,2,326505.97,loan,87,21,1123207.56,1,3,2,132,0,Hibernating,Multi-Product,2026-04-21
3,Adesuwa Ahmed,M,1975-05-27,2025-01-16,Calabar,4.9757,8.3417,2,226182.62,loan|savings,12,18,894674.01,4,2,2,422,0,At Risk,Multi-Product,2026-07-05
4,Segun Okonkwo,M,1992-12-05,2023-09-12,Lagos,6.5244,3.3792,1,105652.44,loan,111,9,608859.69,1,1,1,111,0,Hibernating,Active,2026-03-28
5,Abubakar Okonkwo,M,1975-02-01,2025-11-22,Enugu,6.4584,7.5464,2,42447.75,current|savings,31,41,2365203.34,3,5,5,355,0,Loyal,High Value,2026-06-16
6,Yakubu Mohammed,F,1983-05-10,2025-12-20,Port Harcourt,4.8156,7.0498,2,164430.07,savings,14,32,2592739.39,4,4,5,445,0,Champions,High Value,2026-07-03
7,Obinna Onyeka,M,1985-03-29,2025-05-02,Lagos,6.5244,3.3792,2,418191.59,savings,6,29,1846258.28,5,4,4,544,0,Champions,High Value,2026-07-11
8,Abubakar Danjuma,M,1990-03-23,2026-02-13,Port Harcourt,4.8156,7.0498,2,809595.1100000001,current|loan,81,28,1511394.35,1,4,3,143,0,Loyal,Multi-Product,2026-04-27
9,Adesuwa Nwabueze,M,1972-01-18,2025-07-10,Enugu,6.4584,7.5464,2,189908.82,current|savings,8,38,2978581.79,4,5,5,455,0,Champions,High Value,2026-07-09
10,Grace Nwachukwu,M,1995-11-04,2024-11-01,Kaduna,10.5105,7.4165,2,44802.04,current|savings,27,15,429897.62,3,2,1,321,0,At Risk,Multi-Product,2026-06-20
11,Segun Bello,M,1979-11-14,2024-12-26,Abuja,9.0765,7.3986,1,196984.25,current,57,15,972816.78,2,2,2,222,0,Hibernating,Active,2026-05-21
12,Adesuwa Danjuma,F,1995-08-07,2024-05-17,Lagos,6.5244,3.3792,2,433520.11,loan|savings,38,23,2131471.3,2,3,4,234,0,Loyal,High Value,2026-06-09
13,Lilian Bello,F,1973-04-21,2026-07-13,Jos,9.8965,8.8583,1,211748.46,savings,71,12,95749.32999999999,2,1,1,211,0,Hibernating,Active,2026-05-07
14,Yakubu Ajibade,F,1979-03-24,2025-05-01,Ibadan,7.3775,3.947,2,846915.99,savings,100,13,1326720.68,1,1,3,113,0,Hibernating,Multi-Product,2026-04-08
15,David Bello,M,1993-02-01,2025-08-17,Enugu,6.4584,7.5464,2,836425.9199999999,current,22,32,2628747.93,3,4,5,345,0,Loyal,High Value,2026-06-25
16,Adesuwa Umeh,F,1978-02-07,2023-11-05,Ibadan,7.3775,3.947,1,111345.29,current,13,14,332438.94000000006,4,2,1,421,0,At Risk,Active,2026-07-04
17,Emmanuel Nwachukwu,F,1972-07-25,2024-12-20,Owerri,5.484,7.0351,2,199155.81,current|loan,394,11,585522.8999999999,1,1,1,111,1,Hibernating,Dormant,2025-06-18
18,Obinna Abiola,M,1989-06-05,2025-08-22,Kaduna,10.5105,7.4165,2,373710.57,savings,11,19,1042182.3800000001,4,2,2,422,0,At Risk,Multi-Product,2026-07-06
19,Halima Bello,F,1979-03-14,2024-02-29,Abuja,9.0765,7.3986,2,568922.72,current|savings,20,13,802443.04,3,1,2,312,0,At Risk,Multi-Product,2026-06-27
20,Amaka Ogunleye,F,1980-10-04,2023-12-09,Enugu,6.4584,7.5464,2,728106.0800000001,current|savings,25,31,2967206.02,3,4,5,345,0,Loyal,High Value,2026-06-22
21,Ibrahim Adelaja,F,1987-05-25,2026-03-04,Lagos,6.5244,3.3792,2,563399.16,current|loan,51,30,2419212.7800000003,2,4,5,245,0,Loyal,High Value,2026-05-27
22,Adesuwa Ajibade,M,1975-01-15,2023-09-08,Abeokuta,7.1475,3.3619,1,98104.05,current,1,5,263681.58999999997,5,1,1,511,0,At Risk,Active,2026-07-16
23,Obinna Hassan,M,1979-03-21,2023-08-18,Enugu,6.4584,7.5464,2,556131.47,loan|savings,13,40,2656016.61,4,5,5,455,0,Champions,High Value,2026-07-04
24,Lilian Umeh,F,1974-06-27,2024-01-21,Jos,9.8965,8.8583,1,69278.8,loan,30,6,273598.87,3,1,1,311,0,Hibernating,Active,2026-06-17
25,Zainab Ogunleye,M,1981-06-15,2025-08-08,Kano,12.0022,8.592,2,458772.65,loan|savings,29,21,1807272.9,3,3,4,334,0,Loyal,High Value,2026-06-18
26,Lilian Ahmed,M,1983-07-25,2025-05-17,Benin City,6.335,5.6037,2,345632.95999999996,current|savings,4,26,1690869.96,5,4,4,544,0,Champions,High Value,2026-07-13
27,Adesuwa Adelaja,M,1978-03-08,2024-07-03,Port Harcourt,4.8156,7.0498,2,172583.32,loan,37,23,1218380.66,2,3,3,233,0,Loyal,Multi-Product,2026-06-10
28,Yakubu Balogun,F,1978-08-09,2023-12-01,Port Harcourt,4.8156,7.0498,1,340366.75,current,39,15,888596.48,2,2,2,222,0,Hibernating,Active,2026-06-08
29,Kehinde Bello,M,1983-03-09,2024-09-06,Jos,9.8965,8.8583,1,474085.57,current,2,21,1628480.6600000001,5,3,4,534,0,Champions,Active,2026-07-15
30,Abubakar Okoro,M,1974-03-22,2026-02-22,Owerri,5.484,7.0351,2,325527.57,savings,26,32,2086896.26,3,4,4,344,0,Loyal,High Value,2026-06-21
31,Emmanuel Adelaja,M,1974-01-06,2025-05-26,Benin City,6.335,5.6037,1,167944.59,current,17,10,837206.4400000001,4,1,2,412,0,At Risk,Active,2026-06-30
32,Amaka Okoro,F,1996-12-15,2025-01-07,Kano,12.0022,8.592,2,410493.06,loan,13,28,1779169.15,4,4,4,444,0,Champions,High Value,2026-07-04
33,Abubakar Nwabueze,M,1971-11-25,2024-01-19,Calabar,4.9757,8.3417,2,557704.75,current,39,28,1043310.51,2,4,2,242,0,Loyal,Multi-Product,2026-06-08
